  n        t          u^n          v^n      u^(n+1)      v^(n+1)           y(t)        error
 61   6.1000 -18569.232673 208087.324995  2239.499826 289735.989230       0.000000 -1.856923e+04
 62   6.2000  2239.499826 289735.989230 31213.098749 122472.996352      -0.000000 2.239500e+03
 63   6.3000 31213.098749 122472.996352 43460.398384 -250894.489316      -0.000000 3.121310e+04
 64   6.4000 43460.398384 -250894.489316 18370.949453 -560051.228503      -0.000000 4.346040e+04
 65   6.5000 18370.949453 -560051.228503 -37634.173397 -463735.108780       0.000000 1.837095e+04
 66   6.6000 -37634.173397 -463735.108780 -84007.684275 144474.179584       0.000000 -3.763417e+04
 67   6.7000 -84007.684275 144474.179584 -69560.266317 912313.932546       0.000000 -8.400768e+04
 68   6.8000 -69560.266317 912313.932546 21671.126938 1151759.629443       0.000000 -6.956027e+04
 69   6.9000 21671.126938 1151759.629443 136847.089882 359168.545346      -0.000000 2.167113e+04
 70   7.0000 136847.089882 359168.545346 172763.944417 -1188886.626147      -0.000000 1.368471e+05
 71   7.1000 172763.944417 -1188886.626147 53875.281802 -2322082.757239      -0.000000 1.727639e+05
 72   7.2000 53875.281802 -2322082.757239 -178332.993922 -1699794.196638       0.000000 5.387528e+04
 73   7.3000 -178332.993922 -1699794.196638 -348312.413586 933432.840901       0.000000 -1.783330e+05
 74   7.4000 -348312.413586 933432.840901 -254969.129496 3949840.556309       0.000000 -3.483124e+05
 75   7.5000 -254969.129496 3949840.556309 140014.926135 4524611.573111      -0.000000 -2.549691e+05
 76   7.6000 140014.926135 4524611.573111 592476.083446 862156.525203      -0.000000 1.400149e+05
 77   7.7000 592476.083446 862156.525203 678691.735967 -5493682.571861      -0.000000 5.924761e+05
 78   7.8000 678691.735967 -5493682.571861 129323.478780 -9533758.645597       0.000000 6.786917e+05
 79   7.9000 129323.478780 -9533758.645597 -824052.385779 -6060114.110603       0.000000 1.293235e+05
 80   8.0000 -824052.385779 -6060114.110603 -1430063.796839 5210466.802490       0.000000 -8.240524e+05
 81   8.1000 -1430063.796839 5210466.802490 -909017.116590 16905871.369640       0.000000 -1.430064e+06
 82   8.2000 -909017.116590 16905871.369640 781570.020374 17543106.850725      -0.000000 -9.090171e+05
 83   8.3000 781570.020374 17543106.850725 2535880.705446 955853.221627      -0.000000 7.815700e+05
 84   8.4000 2535880.705446 955853.221627 2631466.027609 -24880880.443646      -0.000000 2.535881e+06
 85   8.5000 2631466.027609 -24880880.443646 143377.983244 -38755100.497910       0.000000 2.631466e+06
 86   8.6000 143377.983244 -38755100.497910 -3732132.066547 -20811330.081395       0.000000 1.433780e+05
 87   8.7000 -3732132.066547 -20811330.081395 -5813265.074686 26915655.624772       0.000000 -3.732132e+06
 88   8.8000 -5813265.074686 26915655.624772 -3121699.512209 71590478.559251      -0.000000 -5.813265e+06
 89   8.9000 -3121699.512209 71590478.559251 4037348.343716 67012234.401718      -0.000000 -3.121700e+06
 90   9.0000 4037348.343716 67012234.401718 10738571.783888 -6867366.236299      -0.000000 4.037348e+06
 91   9.1000 10738571.783888 -6867366.236299 10051835.160258 -110819400.957026       0.000000 1.073857e+07
 92   9.2000 10051835.160258 -110819400.957026 -1030104.935445 -155928052.081091       0.000000 1.005184e+07
 93   9.3000 -1030104.935445 -155928052.081091 -16622910.143554 -67662976.686097       0.000000 -1.030105e+06
 94   9.4000 -16622910.143554 -67662976.686097 -23389207.812164 132397613.092490      -0.000000 -1.662291e+07
 95   9.5000 -23389207.812164 132397613.092490 -10149446.502915 300090884.667881      -0.000000 -2.338921e+07
 96   9.6000 -10149446.502915 300090884.667881 19859641.963874 251539907.363086      -0.000000 -1.014945e+07
 97   9.7000 19859641.963874 251539907.363086 45013632.700182 -72826465.957193      -0.000000 1.985964e+07
 98   9.8000 45013632.700182 -72826465.957193 37730986.104463 -486549559.980418       0.000000 4.501363e+07
 99   9.9000 37730986.104463 -486549559.980418 -10923969.893579 -620584641.034838       0.000000 3.773099e+07
