  n        t          u^n          v^n      u^(n+1)      v^(n+1)
 35   0.3500     0.297228     0.578534     0.303013     0.559470
 36   0.3600     0.303013     0.559470     0.308608     0.539813
 37   0.3700     0.308608     0.539813     0.314006     0.519565
 38   0.3800     0.314006     0.519565     0.319201     0.498732
 39   0.3900     0.319201     0.498732     0.324189     0.477324
 40   0.4000     0.324189     0.477324     0.328962     0.455352
 41   0.4100     0.328962     0.455352     0.333516     0.432835
 42   0.4200     0.333516     0.432835     0.337844     0.409791
 43   0.4300     0.337844     0.409791     0.341942     0.386244
 44   0.4400     0.341942     0.386244     0.345804     0.362219
 45   0.4500     0.345804     0.362219     0.349426     0.337749
 46   0.4600     0.349426     0.337749     0.352804     0.312864
 47   0.4700     0.352804     0.312864     0.355933     0.287602
 48   0.4800     0.355933     0.287602     0.358809     0.262002
 49   0.4900     0.358809     0.262002     0.361429     0.236105
 50   0.5000     0.361429     0.236105     0.363790     0.209957
 51   0.5100     0.363790     0.209957     0.365889     0.183603
 52   0.5200     0.365889     0.183603     0.367725     0.157092
 53   0.5300     0.367725     0.157092     0.369296     0.130475
 54   0.5400     0.369296     0.130475     0.370601     0.103804
 55   0.5500     0.370601     0.103804     0.371639     0.077130
 56   0.5600     0.371639     0.077130     0.372410     0.050508
 57   0.5700     0.372410     0.050508     0.372915     0.023992
 58   0.5800     0.372915     0.023992     0.373155    -0.002364
 59   0.5900     0.373155    -0.002364     0.373132    -0.028507
 60   0.6000     0.373132    -0.028507     0.372847    -0.054383
 61   0.6100     0.372847    -0.054383     0.372303    -0.079941
 62   0.6200     0.372303    -0.079941     0.371503    -0.105130
 63   0.6300     0.371503    -0.105130     0.370452    -0.129901
 64   0.6400     0.370452    -0.129901     0.369153    -0.154207
 65   0.6500     0.369153    -0.154207     0.367611    -0.178003
 66   0.6600     0.367611    -0.178003     0.365831    -0.201245
 67   0.6700     0.365831    -0.201245     0.363818    -0.223896
 68   0.6800     0.363818    -0.223896     0.361580    -0.245917
 69   0.6900     0.361580    -0.245917     0.359120    -0.267275
 70   0.7000     0.359120    -0.267275     0.356448    -0.287939
 71   0.7100     0.356448    -0.287939     0.353568    -0.307882
 72   0.7200     0.353568    -0.307882     0.350489    -0.327080
 73   0.7300     0.350489    -0.327080     0.347219    -0.345512
 74   0.7400     0.347219    -0.345512     0.343763    -0.363161
 75   0.7500     0.343763    -0.363161     0.340132    -0.380013
 76   0.7600     0.340132    -0.380013     0.336332    -0.396058
 77   0.7700     0.336332    -0.396058     0.332371    -0.411288
 78   0.7800     0.332371    -0.411288     0.328258    -0.425700
 79   0.7900     0.328258    -0.425700     0.324001    -0.439293
 80   0.8000     0.324001    -0.439293     0.319608    -0.452068
 81   0.8100     0.319608    -0.452068     0.315088    -0.464031
 82   0.8200     0.315088    -0.464031     0.310447    -0.475189
 83   0.8300     0.310447    -0.475189     0.305695    -0.485553
 84   0.8400     0.305695    -0.485553     0.300840    -0.495134
 85   0.8500     0.300840    -0.495134     0.295889    -0.503947
 86   0.8600     0.295889    -0.503947     0.290849    -0.512008
 87   0.8700     0.290849    -0.512008     0.285729    -0.519335
 88   0.8800     0.285729    -0.519335     0.280536    -0.525948
 89   0.8900     0.280536    -0.525948     0.275276    -0.531868
 90   0.9000     0.275276    -0.531868     0.269958    -0.537117
 91   0.9100     0.269958    -0.537117     0.264586    -0.541717
 92   0.9200     0.264586    -0.541717     0.259169    -0.545694
 93   0.9300     0.259169    -0.545694     0.253712    -0.549070
 94   0.9400     0.253712    -0.549070     0.248222    -0.551872
 95   0.9500     0.248222    -0.551872     0.242703    -0.554125
 96   0.9600     0.242703    -0.554125     0.237162    -0.555853
 97   0.9700     0.237162    -0.555853     0.231603    -0.557083
 98   0.9800     0.231603    -0.557083     0.226032    -0.557839
 99   0.9900     0.226032    -0.557839     0.220454    -0.558148
